# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
Two Door Cinema Club|Undercover Martyn|idk frfr||https://open.spotify.com/track/0bePGTDjn0XuEKoN7rOMvV
Foster The People|Lotus Eater|idk frfr||https://open.spotify.com/track/6ReKt5x6FVUXTMdWNC6GAQ
Twenty One Pilots|We Don't Believe What's on TV|idk frfr||https://open.spotify.com/track/22OqansuvEMQu9W0EfiGTI
Bad Suns|Off She Goes|idk frfr||https://open.spotify.com/track/277XsneDiv30dhONPCOmrF
Vampire Weekend|A-Punk|idk frfr||https://open.spotify.com/track/2DrGEaqoruCSn0FffWCf5O
Cage The Elephant|Come a Little Closer|idk frfr||https://open.spotify.com/track/4sebUbjqbcgDSwG6PbSGI0
Hippo Campus|Suicide Saturday|idk frfr||https://open.spotify.com/track/0scQIzgcOhnmfqfOTpRUFH
Hippo Campus|Violet|idk frfr||https://open.spotify.com/track/6NbLlTH71bOgfTtFVY9HRm
Wild Party|OutRight|idk frfr||https://open.spotify.com/track/6TGapnqEUkkSBanKyn5qYy
Saint Motel|Butch|idk frfr||https://open.spotify.com/track/5ZQWNRoJsfkByZFHqCB92J
Catfish and the Bottlemen|Kathleen|idk frfr||https://open.spotify.com/track/1MHYAqWWdDRePmnqORynrq
Peach Pit|Seventeen|idk frfr||https://open.spotify.com/track/0SBariQWfKjoslW2XSIFOm
Peach Pit|Drop the Guillotine|idk frfr||https://open.spotify.com/track/1gpBDeONibvJyQYEv5HJh9
CRUISR|All Over|idk frfr||https://open.spotify.com/track/7IDKIfRltN07TdsdTVtRHh
Bad Suns|Daft Pretty Boys|idk frfr||https://open.spotify.com/track/41d2Q6DHcM20OdzynkRtvf
The Wombats|Pink Lemonade|idk frfr||https://open.spotify.com/track/1OqbX2MZ6ZzWP7HjMHbdkp
Arctic Monkeys|Knee Socks|idk frfr||https://open.spotify.com/track/2LGdO5MtFdyphi2EihANZG
half•alive|The Fall|idk frfr||https://open.spotify.com/track/2VgQLPaAPaJRIXeL0FIW2q
The Strokes|The Adults Are Talking|idk frfr||https://open.spotify.com/track/5ruzrDWcT0vuJIOMW7gMnW
Vaundy|踊り子|Redflag||https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V
Ginger Root|Loretta|Redflag||https://open.spotify.com/track/3eZqBNHlNA4lUsbAB6UmvD
indigo la End|夏夜のマジック|Redflag||https://open.spotify.com/track/144pIQC3mpmUkZXMt8fIwb
Gesu No Kiwami Otome|アオミ|Redflag||https://open.spotify.com/track/5Om63xY8qz7BTG5HSoTtwE
Lamp|ゆめうつつ|Redflag||https://open.spotify.com/track/1GTC0DN9LGOdP0NdvoHyX7
Sunny Day Service|Kokoro ni Kumo wo Motsu Shonen|Redflag||https://open.spotify.com/track/0fPRu3MqUxtqZtfKeZf9Ro
Meaningful Stone|Dancing in the rain|Redflag||https://open.spotify.com/track/3d28TKE1fVNrG7D4xH7Q7k
mitsume|あこがれ|Redflag||https://open.spotify.com/track/67p2FNw6LervXFDE36ECAt
KIRINJI|killer tune kills me|Redflag||https://open.spotify.com/track/2JCdUwmGDO3SBkhwkfRaLr
Helsinki Lambda Club|Good News Is Bad News|Redflag||https://open.spotify.com/track/1mF4n4AYVZJE8q8MKSt45g
HYUKOH|Graduation|Redflag||https://open.spotify.com/track/0wDz1vVrbkoZbS8axgiWZk
Lamp|Windy Afternoon|Redflag||https://open.spotify.com/track/3ggXaHkbtPpTWIa4ljIbUr
Lamp|二十歳の恋|Redflag||https://open.spotify.com/track/1EA40FX9aBaKIXwIp83WzL
Meaningful Stone|Beep-Boop, Beep-Boop|Redflag||https://open.spotify.com/track/579uHOz2E7JtV3YNNOwJqu
Ginger Root|Le château|Redflag||https://open.spotify.com/track/3KhPLLQjXodVQU9FoIlCUh
Anri|悲しみがとまらない　I CAN'T STOP THE LONELINESS|Redflag||https://open.spotify.com/track/3FYDqY5BRtx3IVSaiQZSze
Vaundy|Tokyo Flash|Redflag||https://open.spotify.com/track/1Sem1dIkjX7tA8Nf5hEy8R
Anri|Remember Summer Days|Redflag||https://open.spotify.com/track/1qUo7d5lAOclNVbTUY0A2R
Kenshi Yonezu|ごめんね|Redflag||https://open.spotify.com/track/4dvRQjQCOdtEaYH86BEs36
Take Van|In My Head|Context||https://open.spotify.com/track/5a5q1sFcpMoPRk5fRGWq2W
The Marías|No One Noticed|Context||https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5
Steve Lacy|Out of Me Head|Context||https://open.spotify.com/track/3G9tyuUoBVNTDXY0icrUVf
Toco|Bom Motivo|Context||https://open.spotify.com/track/0XdhwShrfjvtaaU1QIhpPe
